character,classification
ACKBAR,Protagonist
ANAKIN,Protagonist
ANNOUNCER,Neither
ASSISTANT OFFICER,Neither
ASTRO-OFFICER,Neither
AUNT BERU,Protagonist
BARTENDER,Neither
BASE VOICE,Neither
BEN,Protagonist
BERU,Protagonist
BIB,Antagonist
BIGGS,Protagonist
BOBA FETT,Antagonist
BOUSHH,Antagonist
BUNKER COMMANDER,Neither
CAMIE,Neither
CAPTAIN,Neither
CHIEF,Neither
CHIEF PILOT,Neither
COMMANDER,Neither
COMMUNICATIONS OFFICER,Neither
CONTROL OFFICER,Neither
CONTROL ROOM COMMANDER,Neither
CONTROLLER,Neither
CREATURE,Neither
DACK,Protagonist
DEAK,Neither
DEATH STAR CONTROLLER,Neither
DEATH STAR INTERCOM VOICE,Neither
DECK OFFICER,Neither
DERLIN,Protagonist
DODONNA,Protagonist
EMPEROR,Antagonist
FIRST CONTROLLER,Neither
FIRST OFFICER,Neither
FIRST TROOPER,Neither
FIXER,Protagonist
GANTRY OFFICER,Neither
GENERAL MADINE,Neither
GOLD FIVE,Neither
GOLD LEADER,Neither
GOLD TWO,Neither
GRAY LEADER,Neither
GREEDO,Antagonist
GREEN LEADER,Neither
GUARD,Neither
HAN,Protagonist
HAN and LUKE,Protagonist
HAN/PILOT,Protagonist
HEAD CONTROLLER,Neither
HOBBIE,Neither
HUMAN,Neither
IMPERIAL OFFICER,Neither
IMPERIAL SOLDIER,Neither
INTERCOM VOICE,Neither
JABBA,Antagonist
JANSON,Protagonist
JERJERROD,Antagonist
LANDO,Protagonist
LEIA,Protagonist
LIEUTENANT,Neither
LUKE,Protagonist
LURE,Neither
MAN,Neither
MASSASSI INTERCOM VOICE,Neither
MEDICAL DROID,Neither
MON MOTHMA,Protagonist
MOTTI,Antagonist
NAVIGATOR,Neither
NEEDA,Antagonist
NINEDENINE,Neither
OFFICER,Neither
OFFICER CASS,Neither
OOLA,Neither
OPERATOR,Neither
OWEN,Protagonist
OZZEL,Antagonist
PIETT,Antagonist
PILOT,Neither
PILOT #2,Neither
PILOT VOICE,Neither
PILOTS,Neither
PORKINS,Protagonist
REBEL CAPTAIN,Neither
REBEL FIGHTER,Neither
REBEL OFFICER,Neither
REBEL PILOT,Neither
RED ELEVEN,Neither
RED LEADER,Neither
RED NINE,Neither
RED SEVEN,Neither
RED TEN,Neither
RED THREE,Neither
RED TWO,Neither
RIEEKAN,Protagonist
SCOUT,Neither
SCOUT #1,Neither
SCOUT #2,Neither
SCOUT #l,Neither
SECOND COMMANDER,Neither
SECOND CONTROLLER,Neither
SECOND OFFICER,Neither
SECOND THREEPIO,Neither
SECOND TROOPER,Neither
SENIOR CONTROLLER,Neither
SHUTTLE CAPTAIN,Neither
STORMTROOPER,Neither
STRANGE VOICE,Neither
TAGGE,Antagonist
TARKIN,Antagonist
TECHNICIAN,Neither
THREEPIO,Protagonist
TRACKING OFFICER,Neither
TRENCH OFFICER,Neither
TROOPER,Neither
TROOPER VOICE,Neither
VADER,Antagonist
VEERS,Antagonist
VOICE,Neither
VOICE OVER DEATH STAR INTERCOM,Neither
WALKER PILOT #1,Neither
WEDGE,Protagonist
WILLARD,Protagonist
WINGMAN,Neither
WOMAN,Neither
WOMAN CONTROLLER,Neither
Y-WING PILOT,Neither
YODA,Protagonist
ZEV,Protagonist
